timestamp,open,high,low,close,volume
2025-03-28 06:33:00,86955.0,86955.0,86955.0,86955.0,0.00920016
2025-03-28 06:34:00,86922.5,86922.5,86922.5,86922.5,0.49998562
2025-03-28 06:35:00,86987.5,86987.5,86987.5,86987.5,0.22991809
2025-03-28 06:36:00,86960.0,86960.0,86960.0,86960.0,0.5
2025-03-28 06:37:00,86960.0,86960.0,86960.0,86960.0,0.0
2025-03-28 06:38:00,86915.0,86915.0,86857.5,86882.5,0.85982164
2025-03-28 06:39:00,86890.0,86905.0,86885.0,86897.5,1.96209414
2025-03-28 06:40:00,86922.5,86947.5,86922.5,86947.5,0.46011389
2025-03-28 06:41:00,86912.5,86912.5,86885.0,86885.0,0.58453995
2025-03-28 06:42:00,86900.0,86930.0,86897.5,86897.5,1.46774934
2025-03-28 06:43:00,86882.5,86882.5,86880.0,86882.5,0.73018683
2025-03-28 06:44:00,86882.5,86882.5,86882.5,86882.5,1.15653493
2025-03-28 06:45:00,86890.0,86890.0,86890.0,86890.0,0.00563931
2025-03-28 06:46:00,86927.5,86927.5,86920.0,86920.0,0.05820952
2025-03-28 06:47:00,86920.0,86920.0,86920.0,86920.0,0.0
2025-03-28 06:48:00,86920.0,86920.0,86920.0,86920.0,0.0
2025-03-28 06:49:00,86907.5,86930.0,86907.5,86930.0,0.5776808
2025-03-28 06:50:00,86930.0,86930.0,86930.0,86930.0,0.0
2025-03-28 06:51:00,86960.0,86960.0,86952.5,86952.5,0.00620978
2025-03-28 06:52:00,86860.0,86860.0,86857.5,86857.5,2.38446671
2025-03-28 06:53:00,86830.0,86830.0,86745.0,86745.0,0.63229291
2025-03-28 06:54:00,86727.5,86735.0,86707.5,86735.0,0.26163
2025-03-28 06:55:00,86802.5,86802.5,86802.5,86802.5,0.12672446
2025-03-28 06:56:00,86810.0,86810.0,86810.0,86810.0,0.00103675
2025-03-28 06:57:00,86810.0,86810.0,86810.0,86810.0,0.0
2025-03-28 06:58:00,86810.0,86810.0,86810.0,86810.0,0.00576449
2025-03-28 06:59:00,86810.0,86810.0,86810.0,86810.0,0.0
2025-03-28 07:00:00,86707.5,86710.0,86695.0,86710.0,0.09515468
2025-03-28 07:01:00,86757.5,86757.5,86750.0,86750.0,0.0765417
2025-03-28 07:02:00,86662.5,86662.5,86647.5,86647.5,1.08519321
2025-03-28 07:03:00,86752.5,86752.5,86747.5,86747.5,0.05360369
2025-03-28 07:04:00,86817.5,86817.5,86817.5,86817.5,0.76785727
2025-03-28 07:05:00,86775.0,86785.0,86755.0,86785.0,0.16882122
2025-03-28 07:06:00,86837.5,86865.0,86837.5,86837.5,0.82105557
2025-03-28 07:07:00,86830.0,86832.5,86797.5,86832.5,1.84078225
2025-03-28 07:08:00,86845.0,86855.0,86827.5,86827.5,0.34268678
2025-03-28 07:09:00,86830.0,86845.0,86830.0,86840.0,0.25598759
2025-03-28 07:10:00,86790.0,86790.0,86740.0,86740.0,0.19597951
2025-03-28 07:11:00,86747.5,86747.5,86710.0,86712.5,0.36161423
2025-03-28 07:12:00,86707.5,86715.0,86690.0,86702.5,1.26316594
2025-03-28 07:13:00,86690.0,86690.0,86650.0,86672.5,0.80670307
2025-03-28 07:14:00,86650.0,86655.0,86637.5,86655.0,3.21157008
2025-03-28 07:15:00,86657.5,86712.5,86657.5,86687.5,4.93951769
2025-03-28 07:16:00,86680.0,86735.0,86680.0,86735.0,4.07794717
2025-03-28 07:17:00,86732.5,86755.0,86725.0,86752.5,2.44004859
2025-03-28 07:18:00,86752.5,86762.5,86707.5,86707.5,2.96812929
2025-03-28 07:19:00,86707.5,86710.0,86672.5,86710.0,2.77410239
2025-03-28 07:20:00,86707.5,86707.5,86665.0,86692.5,5.15486201
2025-03-28 07:21:00,86692.5,86725.0,86692.5,86710.0,5.77843583
2025-03-28 07:22:00,86710.0,86737.5,86710.0,86737.5,1.2160549
2025-03-28 07:23:00,86737.5,86737.5,86685.0,86687.5,2.48250301
2025-03-28 07:24:00,86685.0,86685.0,86620.0,86620.0,1.82469297
2025-03-28 07:25:00,86625.0,86625.0,86597.5,86600.0,7.77667581
2025-03-28 07:26:00,86597.5,86597.5,86557.5,86560.0,3.01374606
2025-03-28 07:27:00,86560.0,86587.5,86552.5,86552.5,1.00636318
2025-03-28 07:28:00,86552.5,86552.5,86510.0,86540.0,1.59512017
2025-03-28 07:29:00,86540.0,86552.5,86535.0,86550.0,3.61514843
2025-03-28 07:30:00,86550.0,86570.0,86530.0,86547.5,3.80743401
2025-03-28 07:31:00,86547.5,86547.5,86470.0,86485.0,1.96676603
2025-03-28 07:32:00,86485.0,86485.0,86420.0,86420.0,3.27893145
2025-03-28 07:33:00,86420.0,86420.0,86327.5,86337.5,5.08334817
2025-03-28 07:34:00,86337.5,86337.5,86272.5,86317.5,5.73304702
2025-03-28 07:35:00,86317.5,86317.5,86240.0,86272.5,3.10841401
2025-03-28 07:36:00,86265.0,86367.5,86265.0,86352.5,8.26134218
2025-03-28 07:37:00,86325.0,86380.0,86317.5,86330.0,4.01553575
2025-03-28 07:38:00,86330.0,86330.0,86265.0,86267.5,0.74296167
2025-03-28 07:39:00,86267.5,86297.5,86265.0,86265.0,2.70128309
2025-03-28 07:40:00,86245.0,86245.0,86207.5,86235.0,3.14084189
2025-03-28 07:41:00,86235.0,86242.5,86160.0,86180.0,4.57144543
